open_time_ms,open,high,low,close,volume,close_time_ms,quote_volume,trades,taker_base_vol,taker_quote_vol
1776394305000,87.68000000,87.68000000,87.68000000,87.68000000,75.71600000,1776394305999,6638.77888000,4,0.00000000,0.00000000
1776394306000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394306999,0.00000000,0,0.00000000,0.00000000
1776394307000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394307999,0.00000000,0,0.00000000,0.00000000
1776394308000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394308999,0.00000000,0,0.00000000,0.00000000
1776394309000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394309999,0.00000000,0,0.00000000,0.00000000
1776394310000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394310999,0.00000000,0,0.00000000,0.00000000
1776394311000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394311999,0.00000000,0,0.00000000,0.00000000
1776394312000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394312999,0.00000000,0,0.00000000,0.00000000
1776394313000,87.68000000,87.69000000,87.68000000,87.69000000,3.17800000,1776394313999,278.64763000,4,3.17800000,278.64763000
1776394314000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394314999,0.00000000,0,0.00000000,0.00000000
1776394315000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394315999,0.00000000,0,0.00000000,0.00000000
1776394316000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394316999,0.00000000,0,0.00000000,0.00000000
1776394317000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394317999,0.00000000,0,0.00000000,0.00000000
1776394318000,87.69000000,87.69000000,87.69000000,87.69000000,1.90700000,1776394318999,167.22483000,2,0.00000000,0.00000000
1776394319000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394319999,0.00000000,0,0.00000000,0.00000000
1776394320000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394320999,0.00000000,0,0.00000000,0.00000000
1776394321000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394321999,0.00000000,0,0.00000000,0.00000000
1776394322000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394322999,0.00000000,0,0.00000000,0.00000000
1776394323000,87.70000000,87.70000000,87.70000000,87.70000000,0.89800000,1776394323999,78.75460000,1,0.89800000,78.75460000
1776394324000,87.70000000,87.70000000,87.70000000,87.70000000,0.08700000,1776394324999,7.62990000,1,0.08700000,7.62990000
1776394325000,87.70000000,87.70000000,87.70000000,87.70000000,0.00000000,1776394325999,0.00000000,0,0.00000000,0.00000000
1776394326000,87.70000000,87.70000000,87.70000000,87.70000000,0.00000000,1776394326999,0.00000000,0,0.00000000,0.00000000
1776394327000,87.70000000,87.70000000,87.70000000,87.70000000,0.00000000,1776394327999,0.00000000,0,0.00000000,0.00000000
1776394328000,87.70000000,87.70000000,87.70000000,87.70000000,0.28800000,1776394328999,25.25760000,1,0.28800000,25.25760000
1776394329000,87.70000000,87.70000000,87.70000000,87.70000000,0.00000000,1776394329999,0.00000000,0,0.00000000,0.00000000
1776394330000,87.70000000,87.70000000,87.70000000,87.70000000,0.00000000,1776394330999,0.00000000,0,0.00000000,0.00000000
1776394331000,87.69000000,87.69000000,87.66000000,87.66000000,22.76600000,1776394331999,1996.33884000,11,0.00000000,0.00000000
1776394332000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394332999,0.00000000,0,0.00000000,0.00000000
1776394333000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394333999,0.00000000,0,0.00000000,0.00000000
1776394334000,87.65000000,87.65000000,87.65000000,87.65000000,0.07300000,1776394334999,6.39845000,1,0.00000000,0.00000000
1776394335000,87.65000000,87.65000000,87.65000000,87.65000000,0.00000000,1776394335999,0.00000000,0,0.00000000,0.00000000
1776394336000,87.65000000,87.65000000,87.65000000,87.65000000,0.00000000,1776394336999,0.00000000,0,0.00000000,0.00000000
1776394337000,87.65000000,87.65000000,87.65000000,87.65000000,0.00000000,1776394337999,0.00000000,0,0.00000000,0.00000000
1776394338000,87.65000000,87.65000000,87.65000000,87.65000000,0.34100000,1776394338999,29.88865000,5,0.00000000,0.00000000
1776394339000,87.65000000,87.65000000,87.65000000,87.65000000,0.00000000,1776394339999,0.00000000,0,0.00000000,0.00000000
1776394340000,87.65000000,87.65000000,87.65000000,87.65000000,0.00000000,1776394340999,0.00000000,0,0.00000000,0.00000000
1776394341000,87.66000000,87.66000000,87.66000000,87.66000000,0.07000000,1776394341999,6.13620000,1,0.07000000,6.13620000
1776394342000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394342999,0.00000000,0,0.00000000,0.00000000
1776394343000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394343999,0.00000000,0,0.00000000,0.00000000
1776394344000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394344999,0.00000000,0,0.00000000,0.00000000
1776394345000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394345999,0.00000000,0,0.00000000,0.00000000
1776394346000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394346999,0.00000000,0,0.00000000,0.00000000
1776394347000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394347999,0.00000000,0,0.00000000,0.00000000
1776394348000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394348999,0.00000000,0,0.00000000,0.00000000
1776394349000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394349999,0.00000000,0,0.00000000,0.00000000
1776394350000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394350999,0.00000000,0,0.00000000,0.00000000
1776394351000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394351999,0.00000000,0,0.00000000,0.00000000
1776394352000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394352999,0.00000000,0,0.00000000,0.00000000
1776394353000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394353999,0.00000000,0,0.00000000,0.00000000
1776394354000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394354999,0.00000000,0,0.00000000,0.00000000
1776394355000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394355999,0.00000000,0,0.00000000,0.00000000
1776394356000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394356999,0.00000000,0,0.00000000,0.00000000
1776394357000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394357999,0.00000000,0,0.00000000,0.00000000
1776394358000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394358999,0.00000000,0,0.00000000,0.00000000
1776394359000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394359999,0.00000000,0,0.00000000,0.00000000
1776394360000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394360999,0.00000000,0,0.00000000,0.00000000
1776394361000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394361999,0.00000000,0,0.00000000,0.00000000
1776394362000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394362999,0.00000000,0,0.00000000,0.00000000
1776394363000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394363999,0.00000000,0,0.00000000,0.00000000
1776394364000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394364999,0.00000000,0,0.00000000,0.00000000
1776394365000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394365999,0.00000000,0,0.00000000,0.00000000
1776394366000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394366999,0.00000000,0,0.00000000,0.00000000
1776394367000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394367999,0.00000000,0,0.00000000,0.00000000
1776394368000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394368999,0.00000000,0,0.00000000,0.00000000
1776394369000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394369999,0.00000000,0,0.00000000,0.00000000
1776394370000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394370999,0.00000000,0,0.00000000,0.00000000
1776394371000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394371999,0.00000000,0,0.00000000,0.00000000
1776394372000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394372999,0.00000000,0,0.00000000,0.00000000
1776394373000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394373999,0.00000000,0,0.00000000,0.00000000
1776394374000,87.66000000,87.66000000,87.66000000,87.66000000,3.69700000,1776394374999,324.07902000,1,3.69700000,324.07902000
1776394375000,87.66000000,87.66000000,87.66000000,87.66000000,0.29000000,1776394375999,25.42140000,3,0.29000000,25.42140000
1776394376000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394376999,0.00000000,0,0.00000000,0.00000000
1776394377000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394377999,0.00000000,0,0.00000000,0.00000000
1776394378000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394378999,0.00000000,0,0.00000000,0.00000000
1776394379000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394379999,0.00000000,0,0.00000000,0.00000000
1776394380000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394380999,0.00000000,0,0.00000000,0.00000000
1776394381000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394381999,0.00000000,0,0.00000000,0.00000000
1776394382000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394382999,0.00000000,0,0.00000000,0.00000000
1776394383000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394383999,0.00000000,0,0.00000000,0.00000000
1776394384000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394384999,0.00000000,0,0.00000000,0.00000000
1776394385000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394385999,0.00000000,0,0.00000000,0.00000000
1776394386000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394386999,0.00000000,0,0.00000000,0.00000000
1776394387000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394387999,0.00000000,0,0.00000000,0.00000000
1776394388000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394388999,0.00000000,0,0.00000000,0.00000000
1776394389000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394389999,0.00000000,0,0.00000000,0.00000000
1776394390000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394390999,0.00000000,0,0.00000000,0.00000000
1776394391000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394391999,0.00000000,0,0.00000000,0.00000000
1776394392000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394392999,0.00000000,0,0.00000000,0.00000000
1776394393000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394393999,0.00000000,0,0.00000000,0.00000000
1776394394000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394394999,0.00000000,0,0.00000000,0.00000000
1776394395000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394395999,0.00000000,0,0.00000000,0.00000000
1776394396000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394396999,0.00000000,0,0.00000000,0.00000000
1776394397000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394397999,0.00000000,0,0.00000000,0.00000000
1776394398000,87.66000000,87.66000000,87.66000000,87.66000000,0.00000000,1776394398999,0.00000000,0,0.00000000,0.00000000
1776394399000,87.66000000,87.67000000,87.66000000,87.67000000,3.91000000,1776394399999,342.75119000,4,3.91000000,342.75119000
